"revert","rɪˈvɜːt","C1","verb","to return to a previous state or subject","eski haline dönmek","return, regress","We should not <b>revert</b> to the old inefficient system.","Try not to <b>revert</b> to your bad habits when you get stressed.","Rüya Ört","Eski haline dönmek isteyen adam, kabusu bitsin diye üstüne <b>Rüya Ört</b>üsü (revert) çekip uyumaya çalıştı ama her seferinde <b>eski haline döndü</b>."
"various","ˈveə.ri.əs","B1","adj","many different types","çeşitli","diverse, sundry","There are <b>various</b> ways to solve this coding problem.","We visited <b>various</b> museums during our trip.","Veriyoz","Pazarcı bağırıyor: 'Abla seç seç al, sana <b>çeşitli</b> meyveler <b>Veriyoz</b> (various), hepsi farklı türde!'"
"quite popular","kwaɪt ˈpɒp.jə.lər","B1","phrase","liked by many people to a notable degree","oldukça popüler","well-liked, trendy","That framework has become <b>quite popular</b> among developers.","The cafe is <b>quite popular</b> for its vegan options.","Kayıt Popüler","Şarkıcı stüdyoda <b>Kayıt</b> (quite) yaparken o kadar <b>Popüler</b> (popular) oldu ki, hayranları camı kırıp içeri girdi, herkes onu <b>oldukça</b> seviyor."
"collide","kəˈlaɪd","B2","verb","to hit something violently","çarpışmak","crash, smash","The two particles <b>collide</b> at high speeds.","Our meeting times might <b>collide</b> with the conference.","Kolaydı","İki araba birbirine feci şekilde <b>çarpış</b>tıktan sonra şoför inip 'Bana çarpmak senin için çok <b>Kolaydı</b> (collide) galiba!' diye bağırdı."
"correspond","ˌkɒr.ɪˈspɒnd","B2","verb","to match or be similar to","tekabül etmek, uyuşmak","match, accord","The numbers on the chart do not <b>correspond</b> to the actual data.","Your account of events does not <b>correspond</b> with the witness's.","Koro Sapan","Sahnedeki <b>Koro</b> ellerindeki <b>Sapan</b>larla (correspond) seyirciye taş atıyor, atılan her taş bir notaya <b>tekabül ediyor</b>."
"brand new","brænd njuː","A2","adj","completely new","yepyeni","pristine, mint","I just bought a <b>brand new</b> laptop for the project.","The car looked <b>brand new</b> after the wash.","Bir An Nü","Manken podyumda <b>yepyeni</b> kıyafetini tanıtırken <b>Bir An Nü</b> (brand new) kaldı, herkes şok oldu."
"explicitly","ɪkˈsplɪs.ɪt.li","C1","adv","in a clear and detailed manner","açıkça, sarih bir şekilde","clearly, unequivocally","I <b>explicitly</b> told you not to touch that server.","The contract <b>explicitly</b> states the terms of termination.","Ekli Pis Bitli","Patron, 'Bana <b>açıkça</b> anlat!' dedi. Çalışan da 'Dosyalar <b>Ekli</b> ama çok <b>Pis</b> ve <b>Bitli</b> (explicitly) olduğu için açamıyorum' diye net cevap verdi."
"quotation mark","kwoʊˈteɪ.ʃən mɑːrk","B1","noun","punctuation used to show speech","tırnak işareti","inverted comma, quote","Don't forget to close the <b>quotation mark</b> in your string.","He used a <b>quotation mark</b> to indicate sarcasm.","Koyu Taşın Mark","Yazar, önemli sözü belirtmek için cümlenin başına <b>Koyu Taşın Mark</b>asını (quotation mark) basarak devasa bir <b>tırnak işareti</b> yaptı."
"particular","pəˈtɪk.jə.lər","B2","adj","specific or special","belirli, özel","specific, certain","Is there a <b>particular</b> reason you chose this color?","Pay <b>particular</b> attention to the syntax errors.","Partiküller","Bilim adamı mikroskoptaki <b>Partiküller</b>i (particular) incelerken, sadece o <b>özel</b> ve <b>belirli</b> olan kırmızı taneciği arıyordu."
"demonstrate","ˈdem.ən.streɪt","B2","verb","to show clearly","göstermek, kanıtlamak","show, exhibit","Let me <b>demonstrate</b> how this function works.","The study <b>demonstrate</b>s the link between stress and illness.","Duman Sürat","Yeni icadını <b>göstermek</b> isteyen mühendis, aracı <b>Duman</b>lar içinde ve son <b>Sürat</b> (demonstrate) duvara çarparak test etti."
